,price,sq_area,furinture,BHK,location,bathrooms
376," 80,000 ",3750 ,Semi-Furnished,4 BHK Apartment in Mantri Euphoria,"Narsingi, Hyderabad",No Deposit4 bathroomsNorthEast facing
377," 30,500 ",2700 ,Semi-Furnished,3 BHK Apartment,"Lakdikapul, Hyderabad",No Deposit4 bathroomsEast facing
378," 14,000 ",1000 ,Unfurnished,2 BHK Apartment,"Habsiguda, Hyderabad",No Deposit2 bathrooms
379," 35,000 ",1450 ,Semi-Furnished,3 BHK Apartment in Cybercity Rainbow Vistas,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
380," 33,500 ",1200 ,Furnished,1 BHK Apartment,"Khairatabad Road, Hyderabad",No Deposit2 bathrooms
381," 21,000 ",1525 ,Semi-Furnished,2 BHK Apartment,"Hakimpet, Hyderabad",No Deposit3 bathrooms
382," 7,800 ",500 ,Unfurnished,1 BHK Apartment,"Erragadda, Hyderabad",No Deposit1 bathrooms
383," 12,000 ",900 ,Unfurnished,1 BHK Apartment,"Moosapet, Hyderabad",No Deposit1 bathrooms
384," 35,500 ",1800 ,Semi-Furnished,2 BHK Apartment,"Karkhana, Hyderabad",No Deposit3 bathrooms
385," 80,000 ",2800 ,Semi-Furnished,4 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit4 bathroomsEast facing
386," 35,000 ",1265 ,Semi-Furnished,2 BHK Apartment in Aparna Hill Park Silver Oaks,"Chandanagar, Hyderabad",No Deposit2 bathroomsWest facing
387," 38,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Mahanagar Delux,"Whitefield, Hyderabad",No Deposit3 bathroomsEast facing
388," 55,000 ",1800 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
389," 60,000 ",1600 ,Furnished,4 BHK Apartment in Bliss Bliss Castle,"Hitech City, Hyderabad",No Deposit4 bathroomsWest facing
390," 45,000 ",1600 ,Semi-Furnished,3 BHK Apartment in Velkore Pinnacle,"Kondapur, Hyderabad",No Deposit3 bathrooms
391," 60,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Aparna Serene Park,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
392," 60,000 ",2800 ,Semi-Furnished,3 BHK Apartment in O2 Square Residences,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
393," 65,000 ",2500 ,Furnished,3 BHK Apartment in Lodha Meridian,"Kukatpally, Hyderabad",No Deposit3 bathroomsWest facing
394," 60,000 ",4500 ,Semi-Furnished,4 BHK Independent House,"West Marredpally, Hyderabad",No Deposit4 bathroomsEast facing
395," 64,000 ",1450 ,Semi-Furnished,3 BHK Apartment in Indis One City,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
396," 79,000 ",4500 ,Semi-Furnished,4 BHK Apartment,"Somajiguda, Hyderabad",No Deposit4 bathroomsEast facing
397," 54,000 ",1400 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
398," 22,000 ",1200 ,Semi-Furnished,2 BHK Apartment,"Mehdipatnam, Hyderabad",No Deposit2 bathrooms
399," 22,300 ",1150 ,Semi-Furnished,2 BHK Apartment,"Upparpally, Hyderabad",No Deposit2 bathrooms
400, 1.24 L,3500 ,Furnished,4 BHK Apartment in Aparna Cyber County,"Gopanpally, Hyderabad",No Deposit4 bathrooms
401," 92,000 ",2293 ,Semi-Furnished,4 BHK Apartment,"Madhapur, Hyderabad",No Deposit4 bathroomsEast facing
402," 34,000 ",1215 ,Semi-Furnished,3 BHK Apartment in Prajay Megapolis,"Kukatpally, Hyderabad",No Deposit2 bathroomsEast facing
403," 34,000 ",1200 ,Semi-Furnished,2 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit2 bathroomsEast facing
404," 39,000 ",1700 ,Semi-Furnished,3 BHK Apartment in My Home Vihanga,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
405," 25,000 ",1200 ,Semi-Furnished,2 BHK Apartment in My Home Vihanga,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
406," 54,039 ",1358 ,Furnished,3 BHK Apartment,"Narsingi, Hyderabad",No Deposit3 bathroomsEast facing
407," 51,000 ",1845 ,Semi-Furnished,3 BHK Apartment in Hallmark Vicinia,"Narsingi, Hyderabad",No Deposit3 bathroomsEast facing
408," 15,000 ",1100 ,Semi-Furnished,2 BHK Apartment,"Nallakunta, Hyderabad",No Deposit2 bathroomsEast facing
409," 30,000 ",1750 ,Semi-Furnished,3 BHK Apartment,"Mahendra Hills, Hyderabad",No Deposit3 bathroomsEast facing
410," 15,000 ",900 ,Furnished,1 BHK Apartment,"Nadergul, Hyderabad",No Deposit1 bathrooms
411," 55,000 ",1850 ,Semi-Furnished,3 BHK Apartment in My Home Avatar,"Manikonda, Hyderabad",No Deposit3 bathroomsNorthEast facing
412," 32,000 ",1800 ,Semi-Furnished,3 BHK Apartment in SV DD Colony,"Nallakunta, Hyderabad",No Deposit3 bathroomsNorth facing
413, 1 L,8300 ,Semi-Furnished,10 BHK Independent House,"Old Bowenpally, Hyderabad",No Deposit9 bathroomsNorthEast facing
414," 45,000 ",2200 ,Semi-Furnished,3 BHK Apartment,"Banjara Hills, Hyderabad",No Deposit3 bathroomsEast facing
415," 45,000 ",2300 ,Semi-Furnished,3 BHK Apartment,"Jubilee Hills, Hyderabad",No Deposit3 bathroomsNorthEast facing
416," 60,000 ",2500 ,Furnished,3 BHK Apartment,"Jubilee Hills, Hyderabad",No Deposit3 bathroomsWest facing
417," 16,000 ",800 ,Semi-Furnished,2 BHK Apartment,"Jubilee Hills, Hyderabad",No Deposit2 bathroomsSouth facing
