,sq_area,furinture,Price_in_rupees,BHK_,House_Type,Location,Locality,No_of_Bathrooms,Facing
369,900,Furnished,15000,1,Studio Apartment, Hyderabad,Jai Suryapatnam,1,
370,1800,Semi-Furnished,30000,3,Apartment, Hyderabad,Amberpet,3,East facing
371,1800,Semi-Furnished,30000,3,Apartment, Hyderabad,Masab Tank,3,West facing
372,1200,Semi-Furnished,18000,2,Apartment, Hyderabad,Himayat Nagar,2,East facing
373,1700,Semi-Furnished,27000,3,Apartment, Hyderabad,Amberpet,3,
374,1700,Semi-Furnished,27000,3,Apartment, Hyderabad,Himayat Nagar,3,East facing
375,4650,Furnished,150000,5,Apartment, Hyderabad,Kokapet,5,NorthEast facing
376,3750,Semi-Furnished,80000,4,Apartment, Hyderabad,Narsingi,4,NorthEast facing
377,2700,Semi-Furnished,30500,3,Apartment, Hyderabad,Lakdikapul,4,East facing
378,1000,Unfurnished,14000,2,Apartment, Hyderabad,Habsiguda,2,
379,1450,Semi-Furnished,35000,3,Apartment, Hyderabad,Hitech City,3,East facing
380,1200,Furnished,33500,1,Apartment, Hyderabad,Khairatabad Road,2,
381,1525,Semi-Furnished,21000,2,Apartment, Hyderabad,Hakimpet,3,
382,500,Unfurnished,7800,1,Apartment, Hyderabad,Erragadda,1,
383,900,Unfurnished,12000,1,Apartment, Hyderabad,Moosapet,1,
384,1800,Semi-Furnished,35500,2,Apartment, Hyderabad,Karkhana,3,
385,2800,Semi-Furnished,80000,4,Apartment, Hyderabad,Gachibowli,4,East facing
386,1265,Semi-Furnished,35000,2,Apartment, Hyderabad,Chandanagar,2,West facing
387,1800,Semi-Furnished,38000,3,Apartment, Hyderabad,Whitefield,3,East facing
388,1800,Semi-Furnished,55000,3,Apartment, Hyderabad,Kondapur,3,East facing
389,1600,Furnished,60000,4,Apartment, Hyderabad,Hitech City,4,West facing
390,1600,Semi-Furnished,45000,3,Apartment, Hyderabad,Kondapur,3,
391,1800,Semi-Furnished,60000,3,Apartment, Hyderabad,Kondapur,3,East facing
392,2800,Semi-Furnished,60000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
393,2500,Furnished,65000,3,Apartment, Hyderabad,Kukatpally,3,West facing
